Designator,Footprint,Quantity,Value,LCSC Part #,JLCPCB
C1,C_0805_2012Metric,1,100nf,,C49678
R11,R_0805_2012Metric,1,3K,,C17661
R10,R_0805_2012Metric,1,1K,,C17513
R8,R_0805_2012Metric,1,10K,,C17414
Q2,TSOT-23_HandSoldering,1,BSS138,,C8545
Q6,TSOT-23_HandSoldering,1,BSS138,,C8545
R3,R_0805_2012Metric,1,1K,,C17513
R7,R_0805_2012Metric,1,1K,,C17513
D1,D_MiniMELF,1,4148,,C9808
R4,R_0805_2012Metric,1,3K,,C17661
Q5,TSOT-23_HandSoldering,1,2N7002,,C8545
Q3,TSOT-23_HandSoldering,1,BSS138,,C8545
Q7,TSOT-23_HandSoldering,1,BSS138,,C8545
R6,R_0805_2012Metric,1,3K,,C17661
R9,R_0805_2012Metric,1,10K,,C17414
R1,R_0805_2012Metric,1,10K,,C17414
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NA555D,,C7593
R2,R_0805_2012Metric,1,10K,,C17414
Q1,TSOT-23_HandSoldering,1,Q_NPN_CBE,,C8512
Q4,TSOT-23_HandSoldering,1,Q_PNP_BEC,,C8326
R5,R_0805_2012Metric,1,1K,,C17513
