Designator,Mid X,Mid Y,Rotation,Layer
C1,113,-98,0,top
R11,127,-82.8,180,top
R10,113,-79,0,top
R8,117.253,-68.58,180,top
Q2,117.253,-63.754,0,top
Q6,117.253,-73.152,180,top
R3,113,-82.8,0,top
R7,127,-90.4,180,top
D1,120.492,-98,180,top
R4,127,-98,0,top
Q5,120.492,-93.726,180,top
Q3,124.111,-63.754,0,top
Q7,124.111,-73.152,180,top
R6,127,-86.6,180,top
R9,124.111,-68.58,180,top
R1,113,-90.4,0,top
U1,120.492,-82.804,0,top
R2,113,-94.2,0,top
Q1,120.492,-89.789,-180,top
Q4,127,-77.978,180,top
R5,113,-86.6,0,top
